new_active,new_death,sno,death,positive,state_name,active,cured,state_code,new_cured,new_positive
199,55,2,55,4023,Andaman and Nicobar Islands,198,3770,35,3782,4036
42855,6291,1,6256,758951,Andhra Pradesh,43983,708712,28,714427,763573
2960,28,3,24,12367,Arunachal Pradesh,2940,9403,12,9573,12561
28897,830,4,826,195304,Assam,28439,166039,18,167059,196786
10835,961,5,955,197535,Bihar,10669,185911,10,187059,198855
1127,197,6,192,13260,Chandigarh,1170,11898,04,12007,13331
27208,1306,7,1286,145247,Chhattisgarh,27421,116540,22,119352,147866
85,2,8,2,3168,Dadra and Nagar Haveli and Daman and Diu,102,3064,26,3081,3168
21490,5854,10,5809,311188,Delhi,20535,284844,07,286880,314224
4316,514,11,511,38674,Goa,4465,33698,30,34252,39082
15187,3584,12,3574,152603,Gujarat,15414,133615,24,134990,153761
10319,1601,13,1592,143221,Haryana,10401,131228,06,132382,144302
2507,254,14,251,17578,Himachal Pradesh,2637,14690,02,15001,17762
9866,1340,15,1333,84031,Jammu and Kashmir,9992,72706,01,73502,84708
7617,805,16,798,93035,Jharkhand,7776,84461,20,85314,93736
113478,10123,17,10036,717915,Karnataka,115795,592084,29,602505,726106
95493,1046,18,1025,295132,Kerala,94473,199634,32,207357,303896
969,64,19,64,5151,Ladakh,961,4126,37,4205,5238
0,0,20,0,0,Lakshadweep,0,0,31,0,0
14661,2671,21,2645,148298,Madhya Pradesh,14932,130721,23,132429,149761
205884,40701,22,40514,1535315,Maharashtra,212905,1281896,27,1297252,1543837
2867,97,23,93,13556,Manipur,2756,10707,14,10829,13793
2367,65,24,64,7771,Meghalaya,2434,5273,17,5406,7838
119,0,25,0,2202,Mizoram,156,2046,15,2093,2212
1513,19,26,18,7240,Nagaland,1409,5813,13,5831,7363
22892,1057,27,1040,254662,Odisha,23430,230192,21,232988,256937
4572,567,28,565,31737,Puducherry,4617,26555,34,26865,32004
8212,3894,29,3860,124535,Punjab,8576,112099,03,113105,125211
21924,1679,30,1665,161184,Rajasthan,21671,137848,08,139616,163219
344,59,31,57,3366,Sikkim,384,2925,11,3014,3417
43239,10371,32,10314,661264,Tamil Nadu,43747,607203,33,612320,665930
23728,1241,34,1233,214792,Telengana,24208,189351,36,191269,216238
3500,318,33,317,28678,Tripura,3738,24623,16,25041,28859
6576,782,35,762,55347,Uttarakhand,6976,47609,05,48283,55641
38082,6466,36,6438,439161,Uttar Pradesh,38815,393908,09,397570,442118
30988,5744,37,5682,298389,West Bengal,30604,262103,19,265288,302020
826876,110586,11111,109856,7175880,,838729,6227295,,6301927,7239389
